Title,Type,Timestamp,Account Currency,Total Amount,Buy / Sell,Ticker,ISIN,Price per Share in Account Currency,Stamp Duty,Quantity,Venue,Order ID,Order Type,Instrument Currency,Total Shares Amount,Price per Share,FX Rate,Base FX Rate,FX Fee (BPS),FX Fee Amount,Dividend Ex Date,Dividend Pay Date,Dividend Eligible Quantity,Dividend Amount Per Share,Dividend Gross Distribution Amount,Dividend Net Distribution Amount,Dividend Withheld Tax Percentage,Dividend Withheld Tax Amount
YouGov,DIVIDEND,2023-12-11T16:00:00.000Z,GBP,0.43,,YOU,GB00B1VQ6H25,,,5.00000000,,,,GBP,,,,,,,2023-11-30,2023-12-11,5.00000000,0.08750000,,,0,0.00
Whitbread,DIVIDEND,2023-12-08T17:27:00.000Z,GBP,0.68,,WTB,GB00B1KJJ408,,,2.00000000,,,,GBP,,,,,,,2023-11-02,2023-12-08,2.00000000,0.34100000,,,0,0.00
UK Dividend,ORDER,2023-12-07T14:24:36.276Z,GBP,48.17,BUY,IUKD,IE00B0M63060,6.88142857,0.00,7.00000000,London Stock Exchange,MOXJW5P914JE,MARKET,GBP,48.17,6.88142857,,,0,,,,,,,,,
Target Healthcare,ORDER,2023-12-07T14:22:51.303Z,GBP,49.42,BUY,THRL,GB00BJGTLF51,0.83338983,0.25,59.00000000,London Stock Exchange,PU2SG0OWFOCM,MARKET,GBP,49.17,0.83338983,,,0,,,,,,,,,
Ashtead,ORDER,2023-12-07T14:20:39.108Z,GBP,48.86,BUY,AHT,GB0000536739,48.62000000,0.24,1.00000000,London Stock Exchange,R7DVDDMNNCZ5,MARKET,GBP,48.62,48.62000000,,,0,,,,,,,,,
QinetiQ,ORDER,2023-12-07T14:19:24.637Z,GBP,47.57,BUY,QQ.,GB00B0WMWD03,2.95812500,0.24,16.00000000,London Stock Exchange,X8IE9TY9J5JR,MARKET,GBP,47.33,2.95812500,,,0,,,,,,,,,
Smart Metering Systems,ORDER,2023-12-07T08:41:58.384Z,GBP,57.66,SELL,SMS,GB00B4X1RC86,9.61000000,0.00,6.00000000,London Stock Exchange - Aim MTF,LOHV04VVQ8EN,MARKET,GBP,57.66,9.61000000,,,0,,,,,,,,,
Smaller Companies,DIVIDEND,2023-12-04T17:46:00.000Z,GBP,0.30,,BRSC,GB0006436108,,,2.00000000,,,,GBP,,,,,,,2023-11-02,2023-12-04,2.00000000,0.15000000,,,0,0.00
LSE,ORDER,2023-12-01T15:01:51.038Z,GBP,89.80,SELL,LSEG,GB00B0SWJX34,89.80000000,0.00,1.00000000,London Stock Exchange,RBIQHS0LYUO9,MARKET,GBP,89.80,89.80000000,,,0,,,,,,,,,
November Statement,MONTHLY_STATEMENT,2023-12-01T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,
